Corner,vsup,temperature,l55lp_v0101.lib.scs,l55lp_v0101.lib.scs,l55lp_v0101.lib.scs,Pass/Fail,"VDC(""/net13"")"
C0_66,2.2,90,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.2892
C0_67,2.2,100,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.2656
C0_68,2.4,-55,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6849
C0_69,2.4,-50,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6906
C0_70,2.4,-40,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.7038
C0_71,2.4,-30,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.7206
C0_72,2.4,-20,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.7403
C0_73,2.4,-10,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.7624
C0_74,2.4,0,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.7865
C0_75,2.4,10,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.812
C0_76,2.4,20,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.8389
C0_77,2.4,30,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.8667
C0_78,2.4,40,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.8951
C0_79,2.4,50,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.9241
C0_80,2.4,60,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.9527
C0_81,2.4,70,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.9811
C0_82,2.4,80,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.009
C0_83,2.4,90,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.036
C0_84,2.4,100,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.061
C0_85,2.6,-55,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.679
C0_86,2.6,-50,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.687
C0_87,2.6,-40,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.702
C0_88,2.6,-30,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.713
C0_89,2.6,-20,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.721
